epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
177,3.084741166366233,2.659,0.6,0.644,0.6,0.596
178,3.059234673009931,2.659,0.6,0.644,0.6,0.596
179,3.087352022117705,2.659,0.6,0.643,0.6,0.596
180,3.076148458968678,2.658,0.601,0.644,0.6,0.597
181,3.09343776103261,2.659,0.6,0.642,0.599,0.596
182,3.07801543719334,2.658,0.6,0.643,0.6,0.596
183,3.068676098948903,2.658,0.601,0.644,0.6,0.597
184,3.067840569025035,2.658,0.6,0.644,0.6,0.597
185,3.070538675327667,2.656,0.601,0.645,0.601,0.597
186,3.064989116963008,2.657,0.601,0.643,0.601,0.597
187,3.068467719502729,2.656,0.601,0.644,0.601,0.597
188,3.0555907577740773,2.657,0.6,0.643,0.6,0.596
189,3.0632742776108874,2.658,0.601,0.644,0.601,0.597
190,3.0607547744108046,2.656,0.6,0.643,0.6,0.596
191,3.0453912363313944,2.657,0.601,0.644,0.6,0.597
192,3.065039089132699,2.657,0.601,0.644,0.601,0.597
193,3.0650024175000707,2.658,0.6,0.643,0.6,0.596
194,3.067746780544734,2.658,0.6,0.645,0.6,0.597
195,3.056616482992681,2.657,0.601,0.644,0.6,0.597
196,3.0324119446303346,2.658,0.6,0.642,0.6,0.596
197,3.0390517715212826,2.658,0.6,0.644,0.6,0.596
198,3.02081001156883,2.659,0.6,0.643,0.6,0.596
199,3.0319421383902894,2.656,0.601,0.644,0.601,0.597
200,3.0438721671843414,2.658,0.601,0.644,0.601,0.597
201,3.0377491697561827,2.657,0.6,0.644,0.6,0.597
202,3.0519585747370046,2.658,0.6,0.643,0.6,0.596
203,3.0357753825630787,2.656,0.601,0.644,0.601,0.597
204,3.0346609515895087,2.657,0.601,0.645,0.601,0.597
205,3.0322422966968525,2.658,0.599,0.642,0.599,0.595
206,3.032144995008727,2.657,0.6,0.645,0.6,0.597
207,3.0421680912411184,2.656,0.601,0.644,0.601,0.597
208,3.021591398016297,2.657,0.601,0.645,0.601,0.597
209,3.014425211423021,2.656,0.601,0.645,0.601,0.597
210,3.0153140415855164,2.658,0.599,0.642,0.599,0.595
211,3.0164779660155734,2.658,0.601,0.645,0.601,0.597
212,3.0198729110778952,2.658,0.599,0.643,0.599,0.595
213,3.0194340724167494,2.657,0.6,0.645,0.6,0.597
214,2.997929648636914,2.658,0.6,0.643,0.6,0.596
215,3.012002117610235,2.657,0.601,0.643,0.601,0.597
216,3.022162259053841,2.659,0.599,0.642,0.599,0.595
217,3.019987715627078,2.656,0.6,0.644,0.6,0.596
218,3.0214161515521774,2.658,0.6,0.643,0.6,0.596
219,3.028435956266858,2.657,0.6,0.643,0.6,0.596
220,3.0084568191703847,2.658,0.6,0.644,0.6,0.596
221,3.01067329444688,2.658,0.6,0.644,0.6,0.596
222,3.0052605840942554,2.657,0.602,0.645,0.602,0.598
223,3.0142115157999867,2.657,0.6,0.645,0.6,0.596
224,2.9677583543445283,2.658,0.601,0.645,0.601,0.597
225,3.0007573823562916,2.657,0.6,0.644,0.6,0.597
226,2.9833948501258445,2.657,0.6,0.644,0.6,0.596
227,2.998775565706426,2.658,0.6,0.644,0.6,0.596
228,2.9913642304621155,2.658,0.598,0.641,0.598,0.595
229,2.9954418538214207,2.658,0.601,0.644,0.601,0.597
230,2.9857029148178706,2.656,0.6,0.644,0.6,0.596
231,2.9856278907230718,2.657,0.6,0.643,0.6,0.596
232,2.9762343409821854,2.658,0.6,0.644,0.6,0.597
233,2.9655506908714915,2.659,0.6,0.643,0.6,0.596
234,2.9890704338106033,2.658,0.6,0.644,0.6,0.596
235,2.9713593113372365,2.656,0.601,0.645,0.601,0.597
236,2.9802316310737345,2.658,0.6,0.643,0.6,0.596
237,2.9565323655553857,2.658,0.601,0.644,0.601,0.597
238,2.989733566733287,2.655,0.599,0.642,0.599,0.595
239,2.9742154538166896,2.658,0.6,0.643,0.6,0.596
240,2.9773006672731976,2.658,0.601,0.645,0.601,0.597
241,2.963019407231459,2.657,0.599,0.642,0.599,0.595
242,2.956732327918069,2.658,0.6,0.645,0.6,0.596
243,2.960571863489757,2.657,0.6,0.644,0.6,0.596
244,2.976313637708017,2.657,0.6,0.644,0.6,0.596
245,2.968782223814683,2.658,0.6,0.643,0.6,0.596
246,2.9420946504143504,2.656,0.6,0.645,0.6,0.597
247,2.97024388720306,2.658,0.599,0.642,0.599,0.595
248,2.938489062483791,2.658,0.601,0.644,0.601,0.597
249,2.9494063393603698,2.658,0.6,0.643,0.6,0.596
250,2.9382407811762903,2.658,0.6,0.643,0.6,0.596
251,2.9518373935021085,2.657,0.6,0.644,0.6,0.596
252,2.9466458570292526,2.657,0.6,0.644,0.6,0.597
253,2.9455593589791578,2.657,0.601,0.645,0.601,0.598
254,2.9388972275334297,2.657,0.601,0.643,0.601,0.597
255,2.918547386549217,2.657,0.599,0.642,0.599,0.595
256,2.927123282613943,2.658,0.601,0.644,0.601,0.597
257,2.9339171030538544,2.656,0.601,0.645,0.601,0.598
258,2.9458248139464027,2.657,0.601,0.644,0.601,0.597
259,2.9315454637189564,2.658,0.6,0.643,0.6,0.596
260,2.9119572403619616,2.656,0.6,0.643,0.6,0.597
261,2.9242191703128015,2.658,0.6,0.644,0.6,0.596
262,2.9316711165636278,2.656,0.6,0.644,0.6,0.596
263,2.930065354908542,2.658,0.599,0.642,0.599,0.595
264,2.9108166721799105,2.657,0.601,0.644,0.601,0.597
265,2.913687286509884,2.657,0.601,0.644,0.601,0.597
266,2.9337594638125215,2.656,0.6,0.643,0.6,0.596
267,2.9188411214726147,2.657,0.601,0.645,0.601,0.597
268,2.9062757618564494,2.656,0.6,0.642,0.6,0.596
269,2.898931376778965,2.659,0.6,0.643,0.6,0.596
270,2.9312842405385537,2.657,0.601,0.644,0.601,0.597
271,2.908127223916477,2.657,0.601,0.645,0.601,0.597
272,2.9234026152846053,2.658,0.6,0.644,0.6,0.596
273,2.914153403479704,2.656,0.601,0.644,0.601,0.597
274,2.8923651214948087,2.657,0.6,0.644,0.6,0.596
275,2.9060669920856146,2.657,0.6,0.644,0.6,0.596
276,2.8845697710875697,2.658,0.601,0.645,0.601,0.597
277,2.910161214177128,2.657,0.6,0.644,0.6,0.596
278,2.90710978138504,2.656,0.601,0.645,0.601,0.597
279,2.906260361006077,2.658,0.6,0.644,0.6,0.597
280,2.9007110418818836,2.659,0.599,0.642,0.599,0.595
281,2.882986116931021,2.656,0.601,0.643,0.601,0.597
282,2.9085848620183747,2.657,0.601,0.645,0.601,0.598
283,2.8924703469379343,2.656,0.602,0.646,0.602,0.598
284,2.8761430271773887,2.658,0.601,0.644,0.601,0.597
285,2.8882999204867463,2.656,0.601,0.645,0.601,0.597
286,2.894014731514082,2.657,0.6,0.644,0.6,0.596
287,2.885890087117251,2.656,0.6,0.644,0.6,0.596
288,2.855539449434772,2.658,0.6,0.644,0.6,0.596
289,2.8459823268065922,2.655,0.601,0.644,0.601,0.597
290,2.8848740684685947,2.659,0.6,0.644,0.6,0.596
291,2.863832923916461,2.657,0.601,0.645,0.601,0.597
292,2.864973660031383,2.658,0.601,0.644,0.6,0.597
293,2.8571535396418697,2.656,0.601,0.645,0.601,0.597
294,2.84586549266208,2.656,0.602,0.646,0.601,0.598
295,2.8621893001974916,2.656,0.599,0.644,0.599,0.596
296,2.866503594876479,2.658,0.6,0.644,0.6,0.596
297,2.850944062556437,2.657,0.601,0.644,0.601,0.597
298,2.8617552006416185,2.657,0.601,0.644,0.6,0.597
299,2.856631409743135,2.656,0.599,0.644,0.599,0.596
300,2.8442899823653325,2.656,0.601,0.644,0.601,0.597
301,2.8549949881091394,2.656,0.601,0.644,0.601,0.597
302,2.8632538790325466,2.658,0.599,0.642,0.599,0.596
303,2.8748300853285857,2.657,0.6,0.643,0.6,0.596
304,2.866095243079914,2.657,0.602,0.645,0.602,0.598
305,2.847274380211207,2.656,0.6,0.643,0.6,0.596
306,2.841488339989591,2.656,0.601,0.645,0.601,0.597
307,2.837321815963129,2.655,0.601,0.644,0.601,0.597
